"species","latitude","longitude","source"
"Dactylorhiza sambucina",46.1251075205,7.0811862583,"inat"
"Dactylorhiza sambucina",46.1277750489,7.0648264537,"inat"
"Dactylorhiza sambucina",46.1285722217,7.0426666667,"inat"
"Dactylorhiza sambucina",46.0780090549,8.7194443114,"inat"
"Dactylorhiza sambucina",46.3511981134,8.647204175,"inat"
"Dactylorhiza sambucina",46.3454400599,7.72633712,"inat"
"Dactylorhiza sambucina",46.08384573,7.01425727,"inat"
"Dactylorhiza sambucina",46.3376805556,7.4756888889,"inat"
"Dactylorhiza sambucina",46.12519595,7.0816424033,"inat"
"Dactylorhiza sambucina",46.2443862686,7.1443609592,"inat"
"Dactylorhiza sambucina",46.4311068412,6.1274504119,"inat"
"Dactylorhiza sambucina",46.417225,7.783745,"inat"
"Dactylorhiza sambucina",46.0293936389,7.0881131667,"inat"
"Dactylorhiza sambucina",46.195225,8.1135805556,"inat"
"Dactylorhiza sambucina",46.3811264036,8.0349121092,"inat"
"Dactylorhiza sambucina",46.5938097691,6.3283698742,"inat"
"Dactylorhiza sambucina",46.3674926758,8.2215242386,"inat"
"Dactylorhiza sambucina",46.1305471667,7.9244533333,"inat"
"Dactylorhiza sambucina",46.3674926758,8.2213459015,"inat"
"Dactylorhiza sambucina",46.4831083333,6.1369583333,"inat"
"Dactylorhiza sambucina",46.3273229371,7.6622795686,"inat"
"Dactylorhiza sambucina",46.56425,6.2685416667,"inat"
"Dactylorhiza sambucina",46.4191421269,6.0755745694,"inat"
"Dactylorhiza sambucina",46.4442208537,6.0975167723,"inat"
"Dactylorhiza sambucina",46.4357192983,6.1170325333,"inat"
"Dactylorhiza sambucina",46.3792533875,8.0415697098,"inat"
"Dactylorhiza sambucina",46.447205,6.1216778333,"inat"
"Dactylorhiza sambucina",46.4988866667,8.28723,"inat"
"Dactylorhiza sambucina",46.4913243419,8.2763091012,"inat"
"Dactylorhiza sambucina",46.3474967512,7.9819975593,"inat"
"Dactylorhiza sambucina",46.332845,7.6848466667,"inat"
"Dactylorhiza sambucina",46.1226416667,7.0706611111,"inat"
"Dactylorhiza sambucina",46.1226166667,7.0706111667,"inat"
"Dactylorhiza sambucina",46.1282694444,7.1482111111,"inat"
"Dactylorhiza sambucina",46.1410741812,7.0913513484,"inat"
"Dactylorhiza sambucina",46.1274939025,7.0833322208,"inat"
"Dactylorhiza sambucina",46.3583416667,8.0412971667,"inat"
"Dactylorhiza sambucina",46.1274187394,7.0827144093,"inat"
"Dactylorhiza sambucina",46.1254493299,7.0787226146,"inat"
"Dactylorhiza sambucina",46.1260033333,7.0797483333,"inat"
"Dactylorhiza sambucina",46.1258138333,7.0797695,"inat"
"Dactylorhiza sambucina",46.3567379306,8.6300495833,"inat"
